"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","prop","prop_wt","cell"
"女性","60歲及以上","小學及以下","中彰投區","本省閩南人","05","05","05",2,1.90505294736803,0.000755001887504719,0.000721849374817377,"女性 | 60歲及以上 | 小學及以下 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","北北基宜蘭區","本省閩南人","00","10","00",2,1.86049201451101,0.000755001887504719,0.000704964656957667,"女性 | 60歲及以上 | 小學及以下 | 北北基宜蘭區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","小學及以下","北北基宜蘭區","本省閩南人","03","08","02",2,1.86049201451101,0.000755001887504719,0.000704964656957667,"女性 | 60歲及以上 | 小學及以下 | 北北基宜蘭區 | 本省閩南人 | 03 | 08 | 02"
"女性","60歲及以上","小學及以下","北北基宜蘭區","本省閩南人","05","05","03",2,1.86049201451101,0.000755001887504719,0.000704964656957667,"女性 | 60歲及以上 | 小學及以下 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 03"
"女性","60歲及以上","小學及以下","桃竹苗區","本省閩南人","05","05","04",2,1.751566386,0.000755001887504719,0.000663691317573115,"女性 | 60歲及以上 | 小學及以下 | 桃竹苗區 | 本省閩南人 | 05 | 05 | 04"
"女性","60歲及以上","小學及以下","雲嘉南區","本省閩南人","05","05","01",2,1.64140927245073,0.000755001887504719,0.00062195135246764,"女性 | 60歲及以上 | 小學及以下 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 01"
"女性","60歲及以上","小學及以下","高屏區","本省閩南人","00","00","00",2,2.35093096001855,0.000755001887504719,0.000890798361312092,"女性 | 60歲及以上 | 小學及以下 | 高屏區 | 本省閩南人 | 00 | 00 | 00"
"女性","60歲及以上","小學及以下","高屏區","本省閩南人","01","08","00",2,2.35093096001855,0.000755001887504719,0.000890798361312092,"女性 | 60歲及以上 | 小學及以下 | 高屏區 | 本省閩南人 | 01 | 08 | 00"
"女性","60歲及以上","小學及以下","高屏區","本省閩南人","05","05","05",2,2.35093096001855,0.000755001887504719,0.000890798361312092,"女性 | 60歲及以上 | 小學及以下 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","高中、職","北北基宜蘭區","本省閩南人","00","09","00",2,1.6363706012395,0.000755001887504719,0.000620042134317684,"女性 | 60歲及以上 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 00 | 09 | 00"
"女性","60歲及以上","高中、職","北北基宜蘭區","本省閩南人","05","05","05",2,1.6363706012395,0.000755001887504719,0.000620042134317684,"女性 | 60歲及以上 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","高中、職","雲嘉南區","本省閩南人","05","05","04",2,1.443679338,0.000755001887504719,0.000547028904898329,"女性 | 60歲及以上 | 高中、職 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 04"
"女性","60歲及以上","高中、職","高屏區","本省閩南人","00","10","00",2,2.06772954600894,0.000755001887504719,0.000783489656883341,"女性 | 60歲及以上 | 高中、職 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"男性","20至29歲","大學及以上","北北基宜蘭區","本省閩南人","06","04","07",2,2.80445261530383,0.000755001887504719,0.00106264362355854,"男性 | 20至29歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 06 | 04 | 07"
"男性","20至29歲","大學及以上","桃竹苗區","本省閩南人","05","05","05",2,2.64026122852865,0.000755001887504719,0.00100042936853859,"男性 | 20至29歲 | 大學及以上 | 桃竹苗區 | 本省閩南人 | 05 | 05 | 05"
"男性","20至29歲","大學及以上","雲嘉南區","本省閩南人","04","04","04",2,2.47421353652963,0.000755001887504719,0.000937511735291197,"男性 | 20至29歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 04 | 04 | 04"
"男性","20至29歲","大學及以上","高屏區","本省閩南人","05","05","05",2,3.54372629809735,0.000755001887504719,0.00134276405090976,"男性 | 20至29歲 | 大學及以上 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","大學及以上","中彰投區","本省客家人","05","05","05",2,2.34786075278887,0.000755001887504719,0.000889635019803727,"男性 | 30至39歲 | 大學及以上 | 中彰投區 | 本省客家人 | 05 | 05 | 05"
"男性","30至39歲","大學及以上","中彰投區","本省閩南人","02","07","01",2,2.34786075278887,0.000755001887504719,0.000889635019803727,"男性 | 30至39歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 02 | 07 | 01"
"男性","30至39歲","大學及以上","北北基宜蘭區","本省閩南人","05","03","05",2,2.29294213989299,0.000755001887504719,0.000868825642069897,"男性 | 30至39歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 03 | 05"
"男性","30至39歲","大學及以上","雲嘉南區","本省閩南人","00","05","02",2,2.02293611596209,0.000755001887504719,0.00076651684281016,"男性 | 30至39歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 00 | 05 | 02"
"男性","30至39歲","大學及以上","雲嘉南區","本省閩南人","00","08","02",2,2.02293611596209,0.000755001887504719,0.00076651684281016,"男性 | 30至39歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 00 | 08 | 02"
